account_id,district_id,stmt_frq,date
11349,1,weekly,2018-05-26
2179,1,weekly,2017-01-14
1809,1,weekly,2016-11-12
179,1,weekly,2020-09-22
72,1,weekly,2019-06-20
6118,1,weekly,2017-03-07
7465,1,weekly,2019-12-19
11141,1,weekly,2020-02-11
10911,1,weekly,2016-05-29
1890,1,weekly,2020-07-20
9646,1,weekly,2019-07-30
1056,1,weekly,2019-12-28
1125,1,weekly,2020-11-21
2993,1,weekly,2019-02-13
2660,1,weekly,2016-10-17
3141,1,weekly,2018-01-06
8051,1,weekly,2016-02-07
2261,1,weekly,2019-12-27
3791,1,weekly,2019-05-03
186,1,weekly,2016-07-29
1646,1,weekly,2019-05-27
510,1,weekly,2016-06-02
1009,1,weekly,2018-08-01
3959,1,weekly,2020-02-15
10093,1,weekly,2017-07-01
4994,1,weekly,2019-01-11
573,1,weekly,2019-07-11
11013,1,weekly,2016-02-14
619,1,weekly,2018-09-09
9472,1,weekly,2016-07-06
1132,1,weekly,2016-02-03
9403,1,weekly,2016-03-27
8327,1,weekly,2018-08-08
3790,1,weekly,2020-05-13
8899,1,weekly,2017-09-05
1475,1,weekly,2016-06-14
3714,2,weekly,2017-04-21
2720,2,weekly,2020-06-16
2279,2,weekly,2019-10-30
6922,3,weekly,2020-05-12
2838,3,weekly,2016-04-13
2099,3,weekly,2016-01-12
10063,4,weekly,2019-10-13
4471,4,weekly,2020-06-09
1154,5,weekly,2020-08-29
2796,5,weekly,2020-12-08
8132,5,weekly,2016-04-17
9051,5,weekly,2019-01-17
5632,5,weekly,2017-11-15
1996,6,weekly,2019-05-08
6083,6,weekly,2019-09-19
1694,6,weekly,2016-08-29
1939,6,weekly,2019-04-19
6034,6,weekly,2016-03-19
1638,6,weekly,2019-11-12
1114,6,weekly,2016-11-13
2242,7,weekly,2016-02-25
2028,7,weekly,2017-11-26
7180,7,weekly,2020-06-12
9491,7,weekly,2019-08-08
1404,7,weekly,2016-09-22
2087,7,weekly,2016-01-08
5250,8,weekly,2019-07-20
2187,9,weekly,2019-02-26
3782,9,weekly,2020-03-17
1953,9,weekly,2020-05-15
3426,9,weekly,2019-07-13
144,10,weekly,2020-04-03
3299,11,weekly,2020-05-16
3106,12,weekly,2020-09-26
3390,12,weekly,2019-12-22
7136,12,weekly,2018-04-09
3089,12,weekly,2019-07-02
5066,13,weekly,2018-08-27
5574,13,weekly,2017-07-14
5196,13,weekly,2020-06-29
1252,13,weekly,2018-07-26
811,14,weekly,2020-08-01
8547,14,weekly,2018-07-17
3713,14,weekly,2016-06-08
2371,15,weekly,2020-10-23
2161,15,weekly,2016-12-30
3035,15,weekly,2016-08-16
1066,16,weekly,2019-09-15
1968,16,weekly,2020-10-14
1868,16,weekly,2020-11-29
4467,17,weekly,2020-04-13
10973,18,weekly,2016-04-20
1632,18,weekly,2019-01-13
1862,19,weekly,2018-04-15
7815,19,weekly,2018-04-09
7733,19,weekly,2019-07-08
7437,19,weekly,2020-08-08
38,19,weekly,2020-08-08
4995,20,weekly,2017-08-01
1804,20,weekly,2016-09-23
1106,20,weekly,2016-08-29
3364,21,weekly,2017-12-08
785,21,weekly,2020-08-09
1350,21,weekly,2019-08-25
1438,23,weekly,2020-09-18
3382,23,weekly,2020-11-20
384,24,weekly,2020-09-14
3387,25,weekly,2019-12-28
10915,25,weekly,2020-02-15
2313,26,weekly,2016-04-13
1967,26,weekly,2018-02-13
441,27,weekly,2016-12-17
212,27,weekly,2016-01-20
3942,27,weekly,2019-05-10
578,28,weekly,2020-03-21
2282,29,weekly,2016-09-17
167,29,weekly,2019-02-26
2089,29,weekly,2020-03-05
1787,30,weekly,2016-03-22
1263,30,weekly,2019-01-09
1772,31,weekly,2018-02-20
2227,31,weekly,2017-05-22
2153,31,weekly,2019-01-07
9583,31,weekly,2017-05-22
1684,32,weekly,2016-07-10
3624,32,weekly,2018-05-30
11027,32,weekly,2019-07-26
3957,33,weekly,2019-06-13
4318,33,weekly,2016-04-13
1022,33,weekly,2017-08-01
1251,34,weekly,2018-07-18
2356,34,weekly,2019-12-23
6512,34,weekly,2019-02-03
1576,35,weekly,2019-08-06
3940,35,weekly,2018-05-07
3240,35,weekly,2019-05-29
4052,36,weekly,2020-01-25
3516,36,weekly,2020-09-07
