loan_id,account_id,duration,payments,status,amount,date
5599,3064,12,1285,A,1542,2019-03-21
5002,173,12,8734,A,10480.8,2018-05-31
7305,11359,12,4502,A,5402.4,2020-08-06
6456,7123,12,3918,A,4701.6,2017-12-09
5130,813,12,2026,A,2431.2,2018-05-11
6878,9242,12,1932,A,2318.4,2021-01-24
6612,7907,12,8116,A,9739.2,2021-08-31
6137,5574,12,3719,A,4462.8,2020-04-10
7264,11141,12,3745,A,4494,2021-10-07
6599,7859,12,6010,A,7212,2020-11-19
5358,2018,12,3210,A,3852,2021-01-21
5464,2419,12,7984,A,9580.8,2019-01-30
5750,3804,12,5271,A,6325.2,2020-02-08
4986,97,12,8573,A,10287.6,2021-08-10
5285,1603,12,6578,A,7893.6,2018-02-06
6059,5196,12,6652,A,7982.4,2021-12-28
6064,5215,12,1219,A,1462.8,2018-08-04
5718,3637,12,1169,A,1402.8,2021-09-01
6820,9034,12,3179,A,3814.8,2017-12-16
5576,2962,12,2604,A,3124.8,2018-12-21
5134,825,12,4423,A,5307.6,2021-02-02
6362,6738,12,3159,A,3790.8,2019-10-31
5377,2116,12,7700,A,9240,2021-08-04
5651,3329,12,1604,A,1924.8,2021-12-08
6306,6425,12,3057,A,3668.4,2018-12-20
6995,9814,12,8014,A,9616.8,2020-09-26
5882,4427,12,7318,A,8781.6,2018-09-26
5932,4626,12,2779,A,3334.8,2021-06-18
6150,5622,12,6918,A,8301.6,2018-11-02
6888,9265,12,3298,A,3957.6,2018-07-11
7253,11079,12,8192,A,9830.4,2021-04-26
6377,6792,12,1432,A,1718.4,2021-03-17
5992,4863,12,6340,A,7608,2021-03-18
6942,9513,12,1527,A,1832.4,2021-07-16
5638,3249,12,5677,A,6812.4,2021-08-27
5634,3229,12,3252,A,3902.4,2021-05-01
5595,3050,12,6908,A,8289.6,2018-09-02
6758,8742,12,2762,A,3314.4,2021-07-29
6753,8688,12,5665,A,6798,2021-03-20
5754,3834,12,1921,A,2305.2,2018-09-28
5723,3674,12,1969,A,2362.8,2018-09-10
6729,8519,12,6224,A,7468.8,2018-08-11
5005,176,12,2288,A,2745.6,2021-04-10
7046,10049,12,7636,A,9163.2,2021-03-28
6502,7424,12,2523,A,3027.6,2021-12-08
6934,9494,12,9736,A,11683.2,2021-02-09
5375,2106,12,8460,A,10152,2020-10-03
6887,9263,12,3298,A,3957.6,2021-05-08
6578,7765,12,2332,A,2798.4,2019-12-11
5922,4580,12,1685,A,2022,2019-08-05
5739,3747,12,6365,A,7638,2019-01-02
5657,3354,12,415,A,498,2018-07-05
7198,10788,12,3814,A,4576.8,2018-08-23
6598,7857,12,5676,A,6811.2,2019-01-18
5980,4825,12,1783,A,2139.6,2019-08-18
6876,9236,12,7218,A,8661.6,2017-12-21
5398,2187,12,4456,A,5347.2,2021-11-04
4996,132,12,7370,A,8844,2020-11-06
6202,5891,12,5432,A,6518.4,2018-04-18
